project_name,notice_type,region,notice_date,bid_description,sector_description,link
samoa covid-19 emergency response project,contract award,none,27-jun-2024,procurement of 3 laptops to support jee process and surveillance activities,"['health', 'health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298330
nigeria for women project,contract award,none,27-jun-2024,"construction of cassava processing shed, drilling of borehole and other works for ten(10nos) collectives in ohafia lga of abia state.","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298326
integrated watershed management of the putumayo-içá river basin,contract award,none,27-jun-2024,suministro equipos de cómputo y accesorios para el personal vinculado al proyecto manejo integrado de la cuenta del rio putumayo ica oficina perú,"['public administration - agriculture, fishing & forestry', 'forestry', 'fisheries']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298325
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for seven (7 nos.) collectives in onna l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298327
modernization of water supply and sanitation services,contract award,none,27-jun-2024,"consultoria para el desarrollo de una solución informática integrada con los procesos administrativos, comerciales y operacionales, alineado al modelo propuesto por otass","['water supply', 'sanitation', 'public administration - water, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298322
nigeria for women project,contract award,none,27-jun-2024,engagement of master trainer for ward facilitators for state project coordinating units(spcu),"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298323
multipurpose cadaster project,contract award,none,27-jun-2024,"sdprf 2013 contratar la prestación de servicio de un (1) profesional especializado tipo f para  efectuar el monitoreo, seguimiento y asesoría jurídica para el cumplimiento  de los cronogramas y resultados de las jornadas informativas.","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298324
cameroon transport sector development project,request for expression of interest,cameroon,27-jun-2024,elaboration des règlements et manuels d’exécution pour l’optimisation de la collecte et de gestion des ressources allouées au fond routier,"['public administration - transportation', 'urban transport', 'rural and inter-urban roads', 'aviation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298320
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for seven (7 nos.)  oil palm processing collectives in onna l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298321
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for seven (7 nos.)  oil palm processing collectives in onna l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298319
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298318
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298317
national urban cadaster and municipal support project,contract award,none,27-jun-2024,servicio de consultoria individual de analista de comunicaciones,"['sub-national government', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298315
national urban cadaster and municipal support project,contract award,none,27-jun-2024,servicio de consultoría individual del analista de procesos municipales senior - fase 2,"['sub-national government', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298316
mexico: sustainable productive landscapes project,contract award,none,27-jun-2024,taller de capacitación y planeación 2024,"['agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298314
guyana education sector program project,contract award,none,27-jun-2024,teach observer,"['primary education', 'public administration - education', 'tertiary education', 'other education', 'early childhood education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298313
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in ibesikpo asutan l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298311
nigeria for women project,contract award,none,27-jun-2024,renewal of  contract for the engagement of livelihood adviser for one year,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298312
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for seven (7 nos.)  oil palm processing collectives in onna l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298310
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298309
multipurpose cadaster project,contract award,none,27-jun-2024,"realizar los procesos de evaluación y aseguramiento de la calidad en campo y oficina desde el componente técnico, requeridos en la revisión de los productos generados por los operadores catastrales en el marco de la implementación de un catastro multiprop","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298307
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in ibesikpo asutan l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298306
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298308
guinea electricity access scale up project,contract award,none,27-jun-2024,assistance technique pour une stratégie de négociation d’un contrat d’achat d’énergie entre edg et des producteurs indépendants d’énergie au compte du mehh.,"['energy transmission and distribution', 'renewable energy solar', 'public administration - energy and extractives']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298302
improving the performance of non-criminal justice services,contract award,none,27-jun-2024,tc- servicio de indización de expedientes digitalizados,['law and justice'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298304
resilient urban sierra leone project,invitation for prequalification,sierra leone,27-jun-2024,"construction and/or rehabilitation of water points (boreholes) and large diameter wells and public toilets in moyiba, coconut farm and 				   rokupa/portee communities, freetown.","['sub-national government', 'other public administration', 'waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298303
nigeria for women project,contract award,none,27-jun-2024,"procurement of information, educational and communication (iec)/promotional material for  nfwp -taraba state.","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298305
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for seven (7 nos.)  oil palm processing collectives in onna l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298300
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for seven (7 nos.)  oil palm processing collectives in onna l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298299
marine fisheries and socio-economic development project,contract award,none,27-jun-2024,supply and delivery of iec materials.,"['agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'fisheries', 'workforce development and vocational education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298297
multipurpose cadaster project,contract award,none,27-jun-2024,realizar las actividades requeridas como especialista social para el desarrollo de los proyectos en el marco de la implementación del programa para la adopción e implementación de un catastro multipropósito.,"['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298301
ghana productive safety net project 2,request for expression of interest,ghana,27-jun-2024,engagement of a management information system (mis) specialist for ghana productive safety net project 2 (gpsnp 2),"['social protection', 'public administration - social protection', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298295
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298296
burkina faso emergency local development and resilience project,contract award,none,27-jun-2024,travaux de normalisation du lycee de koupela (1 bloc de 04 salles de classe+latrine scolaire pmr+latrine enseignant),"['public administration - social protection', 'social protection', 'rural and inter-urban roads', 'sub-national government', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298298
mexico: sustainable productive landscapes project,contract award,none,27-jun-2024,"contratación del inca rural para la consultoría: capacitación, evaluación y certificación de inspectores de la marca ""amigable con la biodiversidad""","['agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298294
nigeria for women project,contract award,none,27-jun-2024,supply and installation of cassava milling machines and other equipment for ten(10nos) collectives in isiala-ngwa north lga of abia state (batch a).,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298293
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in ibesikpo asutan l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298292
multipurpose cadaster project,contract award,none,27-jun-2024,"diseñar, desarrollar e implementar servicios digitales para el procesamiento, disposición y fortalecimiento de información geoespacial dispuesta por la icde en el marco del programa para la adopción e implementación de un catastro multipropósito.","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298291
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in ibesikpo asutan l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298287
liberia road asset management project - libramp,contract award,none,27-jun-2024,procurement of 2 vehicles for road safety secretariet,"['rural and inter-urban roads', 'roads and highways']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298290
nigeria for women project,contract award,none,27-jun-2024,supply and installation of oil palm processing equipment and accessories for five (5 nos.) collectives in ibesikpo asutan l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298289
multipurpose cadaster project,contract award,none,27-jun-2024,"ejecutar las actividades asociadas al especialista en adquisiciones del igac, en los procesos de selección y contratación de bienes y servicios dentro del programa para la adopción e implementación de un catastro multipropósito rural urbano - contratos de","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298286
agro-climatic resilience in semi-arid landscapes (acresal),contract award,none,27-jun-2024,"provision of energy efficient cookstoves among 3000 urban-poor household in bauchi, misaau & katagum l.g.as","['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298285
türkiye earthquake recovery and reconstruction project,invitation for bids,turkiye,27-jun-2024,procurement of eye examination and ent examination unit,"['health', 'sub-national government', 'other public administration', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298288
agro-climatic resilience in semi-arid landscapes (acresal),contract award,none,27-jun-2024,"procurement of information, education & communication (iec) materials","['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298283
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for five (5 nos.)  oil palm processing collectives in nsit ubium l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298282
mali - economic & environmental rehabilitation of the niger river,contract award,none,27-jun-2024,fourniture d'équipements informatiques pour la mise en place de l'observatoire de données spatiales à l'abfn,"['other water supply, sanitation and waste management', 'ports/waterways', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298284
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for five (5 nos.)  oil palm processing collectives in nsit ubium l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298281
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for five (5 nos.)  oil palm processing collectives in nsit ubium l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298279
greater accra resilient and integrated development project,contract award,none,27-jun-2024,"design and supervision of flood early warning response system (fews) accra, including the development of conops for hsd, gmet and nadmo","['sub-national government', 'other public administration', 'social protection', 'waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298280
nigeria rural access and agricultural marketing project,contract award,none,27-jun-2024,"purchase of safeguard equipment (ppes, first aid kits, environmental monitoring and tracking equipment including in-situ air quality kits, noise meter, ph meter, caution tapes, measuring tapes, camera, gps etc.)","['rural and inter-urban roads', 'agricultural markets, commercialization and agri-business', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298278
water supply and sanitation access program (pasea) project,request for expression of interest,"congo, democratic republic of",27-jun-2024,"assistance technique à toutes les provinces pour préparer des plans d’assainissement inclusifs à l’échelle de la ville (cwis) pour kikwit, tshikapa, kananga et mbuji-mayi et un programme d’investissement prioritaire","['water supply', 'other water supply, sanitation and waste management', 'sanitation', 'public administration - water, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298277
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,27-jun-2024,reconstruction/rehabilitation of health facilities in southern part of borno,"['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298276
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,27-jun-2024,reconstruction/rehabilitation of health facilities in southern part of borno,"['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298275
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,27-jun-2024,reconstruction/rehabilitation of health facilities in southern part of borno,"['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298274
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,27-jun-2024,reconstruction/rehabilitation of health facilities in southern part of borno,"['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298273
national agriculture development program,contract award,none,27-jun-2024,recrutement d'un chargé de passation des marchés pour l'unité provinciale de coordination pnda/kasaï central,"['other agriculture, fishing and forestry', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'rural and inter-urban roads', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298272
senegal higher education project - espoir-jeunes,contract award,none,27-jun-2024,sélection de prestataire pour les services d'assurance maladie du personnel de l'ugp,"['primary education', 'public administration - education', 'other education', 'tertiary education', 'workforce development and vocational education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298271
agro-climatic resilience in semi-arid landscapes (acresal),contract award,none,27-jun-2024,procurement personal protective equipment,"['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298270
afr ri-southern africa tuberculosis and health systems support project,contract award,none,27-jun-2024,procurement of anaesthetic and critical care equipment,"['health', 'mining', 'public administration - energy and extractives', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298269
multipurpose cadaster project,contract award,none,27-jun-2024,"mantener, actualizar e implementar la experiencia de usuario de la plataforma tecnológica construida para la icde acorde con las directrices de gobierno digital del programa para la adopción e implementación de un catastro multipropósito.","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298268
agro-climatic resilience in semi-arid landscapes (acresal),contract award,none,27-jun-2024,landscape restoration of 69 ha of degraded land along bauchi-gubi durum communities,"['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298267
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for five (5 nos.)  oil palm processing collectives in nsit ubium l.g.a in akwa ibom state. batch a,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298265
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,27-jun-2024,reconstruction/rehabilitation of health facilities in southern part of borno,"['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298263
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,27-jun-2024,reconstruction/rehabilitation of health facilities in southern part of borno,"['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298264
social safety net project,contract award,none,27-jun-2024,achat de fournitures pour la formation des alphabétiseurs sur les sites extension,"['social protection', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298266
multi-sectoral crisis recovery project for north eastern nigeria,contract award,none,27-jun-2024,reconstruction/rehabilitation of health facilities in southern part of borno,"['water supply', 'sub-national government', 'sanitation', 'rural and inter-urban roads', 'health facilities and construction', 'secondary education', 'primary education', 'crops', 'other industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298261
madagascar road sector sustainability project,contract award,none,27-jun-2024,recrutement d'un organe maîtrise d'œuvre institutionnelle et sociale pour la mise en œuvre des plans de réinstallation involontaire (pri) et actualisation de l’etude d’impact environnemental et social (eies) pddr et cerc,"['rural and inter-urban roads', 'other transportation', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298262
guinea covid-19 preparedness and response project,contract award,none,27-jun-2024,prestataire de service pour la reprographie des canevas snis révisés et les registres des fosa en faveur du mshp,"['social protection', 'health facilities and construction', 'ict infrastructure', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298260
edo basic education sector and skills transformation operation,contract award,none,27-jun-2024,hiring a firm to verify results for year 3 and year 4 for dlis 1- 8,"['tertiary education', 'primary education', 'public administration - education', 'other education', 'secondary education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298259
liberia sustainable management of fisheries project,contract award,none,27-jun-2024,"purchasing of fishing vessel, and gears for piloting of alternative fishing technology","['fisheries', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298257
ethiopia resilient landscapes and livelihoods project,contract award,none,27-jun-2024,procurement of 45 days chicken with accompanies,"['agricultural markets, commercialization and agri-business', 'forestry', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298258
nigeria rural access and agricultural marketing project,contract award,none,27-jun-2024,consultancy service for the engagement of ta environment to support spiu,"['rural and inter-urban roads', 'agricultural markets, commercialization and agri-business', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298254
nigeria rural access and agricultural marketing project,contract award,none,27-jun-2024,construction of selected 35.9km rural roads upgrading in osun state (phase 1),"['rural and inter-urban roads', 'agricultural markets, commercialization and agri-business', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298253
pandemic preparedness and basic health services delivery project,contract award,none,27-jun-2024,recrutement de 2 stagiaires en passation de marchés à l'ucp,"['livestock', 'health', 'health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298256
pandemic preparedness and basic health services delivery project,contract award,none,27-jun-2024,recrutement de 2 stagiaires en passation de marchés à l'ucp,"['livestock', 'health', 'health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298255
uganda covid-19 response and emergency preparedness project,contract award,none,27-jun-2024,"supply, delivery, installation, user training and commissioning of assorted  high dependency units medical equipment for hoima, gulu, yumbe and arua rrhs","['public administration - health', 'health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298252
real estate & geospatial infrastructure project,contract award,none,27-jun-2024,development and advancing cadastral information systems,"['public administration - industry, trade and services', 'housing construction', 'ict services', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298251
lesotho nutrition and health system strengthening project,contract award,none,27-jun-2024,international/regional consultant to assist fnco to develop an m&e plan and nutrition information systems,"['public administration - health', 'health facilities and construction', 'health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298250
pandemic preparedness and basic health services delivery project,contract award,none,27-jun-2024,mise en œuvre du plan d'action vbg,"['livestock', 'health', 'health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298249
agro-climatic resilience in semi-arid landscapes (acresal),contract award,none,27-jun-2024,"supply & installation of ict facilities for the establishment of data management centre, it unit and communication gadget","['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298247
agro-climatic resilience in semi-arid landscapes (acresal),contract award,none,27-jun-2024,"procurement of four (4) wheel drive vehicles (hilux) for ministries of environment, agriculture, water resources and acresal spmu","['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298246
senegal - project for the improvement of education system performance - papse,contract award,none,27-jun-2024,consultant individuel international (joannert) pour la révision du curricula,"['primary education', 'tertiary education', 'secondary education', 'other education', 'public administration - education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298248
social safety net project,contract award,none,27-jun-2024,achat de fournitures pour la formation des alphabétiseurs sur les sites extension,"['social protection', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298245
renewable energy sector development project,request for expression of interest,st. lucia,27-jun-2024,drafting instructions for geothermal resources development bill and regulation to the bill,"['public administration - energy and extractives', 'renewable energy geothermal']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298243
sadc regional statistics project,contract award,none,27-jun-2024,supply of laptops,"['central government (central agencies)', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298244
modernization and upgrade of transmission substations,contract award,none,27-jun-2024,"support piu with preparation of  borrower’s implementation completion report for the project ""modernization and upgrade of transmission substations"" (muts project)","['energy transmission and distribution', 'public administration - energy and extractives']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298242
liberia sustainable management of fisheries project,contract award,none,27-jun-2024,"purchasing of fishing vessel, and gears for piloting of alternative fishing technology","['fisheries', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298240
pathways to sustainable livelihoods project,request for expression of interest,lesotho,27-jun-2024,recruitment of project accountant,"['social protection', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298237
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,27-jun-2024,construction of 2 multi cells box culverts and  approache roads in mafia dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298238
waemu affordable housing finance,contract award,none,27-jun-2024,recrutement d'un consultant individuel pour la 2eme phase de la formation des banques et sfd sur le systeme de gestion environnementale et social lie aux prets a l’habitat,"['housing construction', 'other non-bank financial institutions', 'capital markets', 'banking institutions']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298239
multipurpose cadaster project,contract award,none,27-jun-2024,"sdprf 2052 contratar la prestación de servicios de un (1) consultor individual técnico para que preste con plena autonomía técnica y administrativa sus servicios en el desarrollo de jornadas de orientación, información y asesoría jurídica en orip chimicha","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298236
niger accelerating electricity access project (haské),contract award,none,27-jun-2024,fourniture des matériels de réseaux de distribution pour l’électrification rurale basée sur le réseau dans la région de maradi  ex lot n°4,"['energy transmission and distribution', 'renewable energy solar', 'public administration - energy and extractives', 'renewable energy geothermal']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298235
nigeria rural access and agricultural marketing project,contract award,none,27-jun-2024,construction of selected 35.9km rural roads upgrading in osun state (phase 1),"['rural and inter-urban roads', 'agricultural markets, commercialization and agri-business', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298241
multipurpose cadaster project,contract award,none,27-jun-2024,"sdprf 2027 contratar la prestación de servicios de un (1) consultor individual para que preste con plena autonomía técnica y administrativa sus servicios en el desarrollo de jornadas de orientación, información y asesoría jurídica en orip chaparral","['other public administration', 'ict infrastructure', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298234
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for five (5 nos.)  oil palm processing collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298230
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for five (5 nos.)  oil palm processing collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298233
nigeria for women project,contract award,none,27-jun-2024,construction of oil palm processing shed and other works for five (5 nos.)  oil palm processing collectives in nsit ubium l.g.a in akwa ibom state. batch b,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00298232
