project_name,notice_type,region,notice_date,bid_description,sector_description
Nigeria Rural Access and Agricultural Marketing Project,Invitation for Bids,Western And Central Africa,14-Jun-2024,Construction of 19.1km Itungwa-Mgboko-Amairi-Amaise-Ahiaba Ubi-Nkwoelechi-Omoba Demonstration Road in Abia State,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Smallholder Agriculture Development Project - II,Request for Expression of Interest,Eastern And Southern Africa,13-Jun-2024,ENGAGEMENT OF INDIVIDUAL CONSULTANT TO UNDERTAKE EXTERNAL PROCESS AUDIT OF THE SADP GRANTS PROGRAM FOR SADPII 2022,"ICT Services,Agricultural markets, commercialization and agri-business,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,M&E Unit Head,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement of Industrial Construction Materials,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Access to Clean Resilient Electricity under the ASCENT Regional Program - Multi Programmatic Approac,Request for Expression of Interest,Eastern And Southern Africa,13-Jun-2024,"Recruitment of consultant to develop techinical specification and Bid Documents to Supply and Installation of Outboard Electric Motors with Swappable Batteries, Charging Station and Refrigerators for Fish Storage","Public Administration - Energy and Extractives,Energy Transmission and Distribution,Renewable Energy Solar"
Climate Resilience Multi-Phase Programmatic Approach,Contract Award,South Asia,13-Jun-2024,Improvement to Aluth Ela( 5+700-11+000),"Other Water Supply, Sanitation and Waste Management,Other Public Administration,ICT Infrastructure"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Institutional Strengthening for Improved Village Service Delivery,Invitation for Bids,East Asia And Pacific,13-Jun-2024,Technical Guidance on Strengthening the Participation of Village Activists in Village Community Development and Empowerment contain 5 (Five) Lots of procurement packages,"Sub-National Government,ICT Services"
Bangsamoro Camps Transformation Project,Contract Award,East Asia And Pacific,13-Jun-2024,Procurement and Contract Management Specialist will focus on improving procurement processes and establishing an effective contract management system in BDA. S/He will conduct a PCM assessment of BDA and conduct interventions to address the PCM gaps.,"Social Protection,Public Administration - Social Protection"
Climate Smart Irrigated Agriculture Project,Contract Award,South Asia,13-Jun-2024,"Rehabilitation of Thelikarai Tank and Enochchi Kulam (Thelikarai Kulam) Tanks in Pallikuda GND and Village, Poonakary ASC Area and Divisional Secretaries Division at Kilinochchi District in Northern Province under World Bank funded CSIAP.","Agricultural markets, commercialization and agri-business,ICT Services,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Punjab Urban Land Systems Enhancement Project,Contract Award,South Asia,13-Jun-2024,Hiring of Software Development Executive,"Sub-National Government,ICT Infrastructure,Public Administration - Agriculture, Fishing & Forestry,Housing Construction"
State of Maharashtra's Agribusiness and Rural Transformation Project,Request for Expression of Interest,South Asia,13-Jun-2024,"Selection of System Integrator for Application Development, Cloud Hosting and Operation and Maintenance of website and Web -Applications for PIU -DoM","Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,Procurement Unit Head,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,M&E Unit Head,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Climate Smart Irrigated Agriculture Project,Contract Award,South Asia,13-Jun-2024,"Rehabilitation Of Neradampan To Eriyanarai (0.97km),  Sekkalai To Eriyanarai (0.85km) ,  Paluvil To Arasapuram (0.565km) and Arasapuram To Karumari (2.375km)  Agro Roads In Poonakary Asc At Kilinochchi  District in Northern Province","Agricultural markets, commercialization and agri-business,ICT Services,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Strengthening Entrepreneurship in Productive Forest Landscapes,Contract Award,Latin America And Caribbean,13-Jun-2024,"Contratación de servicios de no consultoría consistentes en el muestreo de conglomerados del Inventario Nacional Forestal y de Suelos (INFyS) mediante un enfoque de monitoreo forestal comunitario en el estado de Tamaulipas, Partida A","Agricultural markets, commercialization and agri-business,Forestry"
Madagascar Agriculture Rural Growth and Land Management Project,Invitation for Bids,Eastern And Southern Africa,13-Jun-2024,Fourniture des kits panneaux solaires ( ligne de remplacement),"Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry,Rural and Inter-Urban Roads,Public Administration - Industry, Trade and Services,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry,Rural and Inter-Urban Roads,Public Administration - Industry, Trade and Services"
Somalia Enhancing Public Resource Management Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,Recruitment of Public Financial Management Adviser,Central Government (Central Agencies)
Strengthening Entrepreneurship in Productive Forest Landscapes,Contract Award,Latin America And Caribbean,13-Jun-2024,"Servicio de consultoría individual para el reforzamiento al sistema de predicción de peligro de incendios forestales, especializado en programación y percepción remota para la región centro-sur","Agricultural markets, commercialization and agri-business,Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,Procurement Officer,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,IBUILD Component Head,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement of Drilling Works of 4 Deep Water Wells in S/W/Sowa and OSZSF by Oromia Water and Energy Bureau,"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Program to Accelerate Agrarian Reform (One Map Project),Contract Award,East Asia And Pacific,13-Jun-2024,Participatory Mapping with Survey (PTSL) Phase 7 Batch 1  80.000 Parcels Majalengka  District -  West  Java FY 2024,"Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurements of HDPE pipe and Fittings by Reginal Water Bureau (RWB),"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Construction of Shade for Sanitation Marketing center  at Jor Woreda Ongogi town and Wantowa woreda Metar Town implemented by  Jor woreda and Wantowa Woreda Finance office,"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,"procurement of industrial construction material, Sodo city","Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Food Systems Resilience Program for Eastern and Southern Africa,Contract Award,Eastern And Southern Africa,13-Jun-2024,Recrutement de cinq Responsables Administratifs et financiers Régionaux,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Punjab Urban Land Systems Enhancement Project,Contract Award,South Asia,13-Jun-2024,Services for Field Revenue Operations & Quality Assurance of PUSLE Field Activities,"Sub-National Government,ICT Infrastructure,Public Administration - Agriculture, Fishing & Forestry,Housing Construction"
"Georgia I2Q - Innovation, Inclusion and Quality",Contract Award,Europe And Central Asia,13-Jun-2024,Reconstruction/Rehabilitation of Village Karajala N1 Public School in Lagodekhi Municipality,"Other Education,Tertiary Education,Public Administration - Education,Primary Education,Early Childhood Education"
Climate Resilience Multi-Phase Programmatic Approach,Contract Award,South Asia,13-Jun-2024,Improvements to Kattaparichchan Drainange Canal from stn 2+200 to Stn 3+200 in Muthur Division,"Other Water Supply, Sanitation and Waste Management,Other Public Administration,ICT Infrastructure"
Punjab Human Capital Investment Project,Contract Award,South Asia,13-Jun-2024,Procurement of Firewall License renewal (Fortinet FG 200-E),"Social Protection,Health,Early Childhood Education,Public Administration - Social Protection"
Food Systems Resilience Program for Eastern and Southern Africa,Contract Award,Eastern And Southern Africa,13-Jun-2024,Recrutement de cinq Responsables Administratifs et financiers Régionaux,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,"Civil works construction with supply & installation of Pipes & Fittings, & transportation & installation of electro-mechanical equipment for the Dase Gora RWSP located in Gomole Woreda of Boorana Zone by Oromia Water and Energy Bureau.","Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
SADC Regional Statistics Project,Request for Expression of Interest,Eastern And Southern Africa,13-Jun-2024,Technical assistance in MS on specific topics identified – GSBPM in Mauritius,"Central Government (Central Agencies),ICT Infrastructure"
Food Systems Resilience Program for Eastern and Southern Africa,Contract Award,Eastern And Southern Africa,13-Jun-2024,Recrutement de cinq Responsables Administratifs et financiers Régionaux,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Food Systems Resilience Program for Eastern and Southern Africa,Contract Award,Eastern And Southern Africa,13-Jun-2024,Recrutement de cinq Responsables Administratifs et financiers Régionaux,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,SES Unit Head,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,SES Unit Head,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Punjab Urban Land Systems Enhancement Project,Contract Award,South Asia,13-Jun-2024,Divisional Land Revenue Expert (DG Khan Division),"Sub-National Government,ICT Infrastructure,Public Administration - Agriculture, Fishing & Forestry,Housing Construction"
Food Systems Resilience Program for Eastern and Southern Africa,Contract Award,Eastern And Southern Africa,13-Jun-2024,Recrutement de cinq Responsables Administratifs et financiers Régionaux,"Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
Punjab Urban Land Systems Enhancement Project,Contract Award,South Asia,13-Jun-2024,Divisional Land Revenue Expert (Faisalabad Division),"Sub-National Government,ICT Infrastructure,Public Administration - Agriculture, Fishing & Forestry,Housing Construction"
COVID-19 Emergency Response and Pandemic Preparedness Project,Contract Award,South Asia,13-Jun-2024,"Installation of Medical Gas Pipeline System at M. Abdur Rahim Medical College Hospital, Dinajpur","Health,Health Facilities and Construction,Public Administration - Health"
Small Town Water Supply and Urban Septage Management Project,Contract Award,Western And Central Africa,13-Jun-2024,Sélection d’un consultant individuel pour la réalisation de l’audit environnemental et social interne des sous projet du PEPRAU,"Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
National Urban Water Supply Project,Contract Award,East Asia And Pacific,13-Jun-2024,"Construction of the Kukusan Pipeline Network, Beji District, Depok City (NUWSP)","Water Supply,Public Administration - Water, Sanitation and Waste Management"
Burkina Faso Livestock Resilience and Competitiveness  Project,Contract Award,Western And Central Africa,13-Jun-2024,"Acquisition de 75 kits de valorisation des sous-produits agricoles (SPA), des produits forestiers non ligneux (PFNL) et autres produits au profit des éleveurs","Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Livestock,Agricultural markets, commercialization and agri-business"
Climate Resilience Multi-Phase Programmatic Approach,Contract Award,South Asia,13-Jun-2024,Rehabilitation of FC24/D4/MC from stn 0+000 to stn 0+225 in Mahadivulwewa scheme,"Other Water Supply, Sanitation and Waste Management,Other Public Administration,ICT Infrastructure"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,Associate Procurement Officer,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Somalia Recurrent Cost & Reform Financing Project - Phase 3,Contract Award,Eastern And Southern Africa,13-Jun-2024,Individual Consultant for Independent Verification Agent (IVA) & Technical Assistance Services for RCRF Project Expenditure Program,"Central Government (Central Agencies),Other Public Administration,Sub-National Government,Public Administration - Health,Public Administration - Education"
Climate Smart Irrigated Agriculture Project,Contract Award,South Asia,13-Jun-2024,Procurement of 4000 kg Green gram  for Seed production and Crop Diversification Programme in 2024 Yala Season - Eastern Province - CSIAP,"Agricultural markets, commercialization and agri-business,ICT Services,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Improvement of Solid Waste Management to Support Regional and Metropolitan Cities,Contract Award,East Asia And Pacific,13-Jun-2024,"Procurement of Waste Collection Infrastructure (Arm Roll Truck and Container) TPST Mekarjati, Karawang Regency","Waste Management,Public Administration - Water, Sanitation and Waste Management"
Resilient and Sustainable Water in Agriculture,Contract Award,Middle East And North Africa,13-Jun-2024,"Formation portant sur le thème : choix , pilotage d'implémentation et utilisation de système GMAO pour la maintenance des équipements d'irrigation","Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement of Drilling and construction works of 18 deep wells of water supply projects in 16 woredas by Oromia Water and Energy Resource Development Bureau.,"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Ukraine Procurement System Enhancement Project,Contract Award,Europe And Central Asia,13-Jun-2024,Project Audit,Central Government (Central Agencies)
Uganda Investing in Forests and Protected Areas for Climate-Smart Development Project,Invitation for Bids,Eastern And Southern Africa,13-Jun-2024,Supply of one (1) grader for tourism roads maintenance in TSWR,"Forestry,Public Administration - Agriculture, Fishing & Forestry,Tourism"
Uganda Investing in Forests and Protected Areas for Climate-Smart Development Project,Request for Expression of Interest,Eastern And Southern Africa,13-Jun-2024,Consultancy services to develop a fire detection and management system for UWA and NFA,"Forestry,Public Administration - Agriculture, Fishing & Forestry,Tourism"
Climate Smart Irrigated Agriculture Project,Contract Award,South Asia,13-Jun-2024,"Improvement of Iyanar Kulam Tank  and Pathinippai  Tank in Mandakkallaru Cascade, Poonakary ASC, Poonakary Divisional Secretaries Division at Killinochchi District in Northern Province under World Bank funded Climate Smart Irrigated Agriculture Project.","Agricultural markets, commercialization and agri-business,ICT Services,Irrigation and Drainage,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Social Protection Emergency Crisis Response Project,Request for Expression of Interest,Middle East And North Africa,13-Jun-2024,"Recrutement d'un cabinet de la réalisation de l'audit technique de la composante 1(TM/TN, transferts aux étudiants et le programme d'alphabétisation)","Social Protection,Public Administration - Social Protection"
Support to COVID-19 Vaccine Purchase and Health System Strengthening,Contract Award,Eastern And Southern Africa,13-Jun-2024,"Acquisition de Matériels roulants (Véhicules réfrigérés, Véhicules 4x4, Motos, Camions)","Health,Public Administration - Health"
Higher Education Project,Contract Award,Europe And Central Asia,13-Jun-2024,Elaboration of curricular support for the course Psychopedagogy of behavioral deviance,"Tertiary Education,ICT Services,Public Administration - Education"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurements of HDPE pipe and Fittings by Reginal Water Bureau (RWB),"Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
"De-risking, inclusion and value enhancement of pastoral economies in the Horn of Africa",Contract Award,Eastern And Southern Africa,13-Jun-2024,Focal Point for Ministry of Commerce and Industries.,"Other Non-bank Financial Institutions,Livestock,Agricultural markets, commercialization and agri-business"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
BD: Enhancing Digital Government & Economy Project,Contract Award,South Asia,13-Jun-2024,Hiring of Service Provider for the Provision of a business plan and set up of implementation and governance structure for National Enterprise Architecture (NEA),"Central Government (Central Agencies),Public Administration - Information and Communications Technologies,ICT Services,ICT Infrastructure,Other Information and Communications Technologies"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,procurement of local construction material for Sodo city,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Climate Resilience Multi-Phase Programmatic Approach,Contract Award,South Asia,13-Jun-2024,Construction of D2 Bund Road at DC2/BR3/RBMC from Stn 1+000 to Stn 3+625 in Mutur Division,"Other Water Supply, Sanitation and Waste Management,Other Public Administration,ICT Infrastructure"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,"Procurement of office Furnitures for PMU,Coordination office and Woredas","Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Urban Productive Safety Net and Jobs Project,Contract Award,Eastern And Southern Africa,13-Jun-2024,Procurement of Industrial Construction Materials,"Social Protection,Public Administration - Social Protection,Workforce Development and Vocational Education"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,M&E Officer,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,"Procurement of office Furnitures for PMU,Coordination office and Woredas","Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Local Economy and Infrastructure Development Project,Contract Award,Europe And Central Asia,13-Jun-2024,DEVELOPMENT OF MARKETING CAMPAINGS IN TARGET DESTINATIONS WITHIN THE LOCAL ECONOMY AND INFRASTRUCTURE DEVELOPMENT PROJECT,"Other Public Administration,Social Protection,Rural and Inter-Urban Roads,Other Water Supply, Sanitation and Waste Management,Health"
Higher Education Project,Contract Award,Europe And Central Asia,13-Jun-2024,Elaboration of curricular support for the course Methodology of physical education,"Tertiary Education,ICT Services,Public Administration - Education"
Program to Accelerate Agrarian Reform (One Map Project),Contract Award,East Asia And Pacific,13-Jun-2024,Participatory Mapping with Survey (PTSL) Phase 7 Batch 2 20.000 Parcels   Majalengka  District -  West Java FY 2024,"Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,"Procurement of office Furnitures for PMU,Coordination office and Woredas","Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Philippine Rural Development Project,Contract Award,East Asia And Pacific,13-Jun-2024,M&E Officer,"Fisheries,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Fisheries,Other Agriculture, Fishing and Forestry,Other Transportation,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Other Agriculture, Fishing and Forestry"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,"Procurement of office Furnitures for PMU,Coordination office and Woredas","Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
"De-risking, inclusion and value enhancement of pastoral economies in the Horn of Africa",Contract Award,Eastern And Southern Africa,13-Jun-2024,Trade Law Advisor for Ministry of Commerce and Industry,"Other Non-bank Financial Institutions,Livestock,Agricultural markets, commercialization and agri-business"
Higher Education Project,Contract Award,Europe And Central Asia,13-Jun-2024,Elaboration of curricular support for the course Didactics of non-linguistic courses,"Tertiary Education,ICT Services,Public Administration - Education"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,13-Jun-2024,"Procurement of office Furnitures for PMU,Coordination office and Woredas","Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Recovery of Economic Activity for Liberian Informal Sector Employment Project,Contract Award,Western And Central Africa,13-Jun-2024,CLAS Beneficiaries’ Mobile Phones,"Social Protection,Public Administration - Social Protection"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,13-Jun-2024,Management of exotic species - Removal of Lantana from the two year old treated areas with different level of infestation %age by cut root stock method (CRS) (Approx. 238 Ha.) in the entire district in Chamba.,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Global Environment Facility Indonesia Sustainable Cities Impact Project,Contract Award,East Asia And Pacific,13-Jun-2024,Environmental Safeguard Specialist,"Sub-National Government,Waste Management"
Resilient and Sustainable Water in Agriculture,Contract Award,Middle East And North Africa,13-Jun-2024,Formation portant sur le thème : Conception et dimensionnement des stations de pompage pour un secteur reconverti de l'irrigation gravitaire à l'irrigation localisée,"Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Agricultural markets, commercialization and agri-business,Public Administration - Agriculture, Fishing & Forestry"
